,Date,Team,TeamRank,TeamRating,Score,Opponent,OppRank,OppRating,RatingDiff,GameTo15VictoryMargin
0,2020-01-24,North Carolina,1,2340,"Score(team_a=13, team_b=3)",Duke,93.0,1271.0,1069.0,11.538461538461537
1,2020-01-25,North Carolina,1,2340,"Score(team_a=13, team_b=4)",North Carolina-Charlotte,81.0,1326.0,1014.0,10.384615384615383
2,2020-01-25,North Carolina,1,2340,"Score(team_a=13, team_b=2)",Carleton College-GoP,89.0,1287.0,1053.0,12.692307692307692
3,2020-01-26,North Carolina,1,2340,"Score(team_a=15, team_b=2)",Kentucky,73.0,1379.0,961.0,13.0
4,2020-01-26,North Carolina,1,2340,"Score(team_a=15, team_b=8)",South Carolina,26.0,1754.0,586.0,7.0
5,2020-01-26,North Carolina,1,2340,"Score(team_a=14, team_b=10)",North Carolina State,21.0,1829.0,511.0,4.285714285714286
6,2020-02-08,North Carolina,1,2340,"Score(team_a=13, team_b=8)",Purdue,51.0,1505.0,835.0,5.769230769230768
7,2020-02-08,North Carolina,1,2340,"Score(team_a=13, team_b=2)",Temple,48.0,1513.0,827.0,12.692307692307692
8,2020-02-08,North Carolina,1,2340,"Score(team_a=13, team_b=4)",Carnegie Mellon,75.0,1375.0,965.0,10.384615384615383
9,2020-02-09,North Carolina,1,2340,"Score(team_a=11, team_b=8)",Ohio State,7.0,2079.0,261.0,4.090909090909091
10,2020-02-09,North Carolina,1,2340,"Score(team_a=13, team_b=7)",Georgia,22.0,1825.0,515.0,6.9230769230769225
11,2020-03-07,North Carolina,1,2340,"Score(team_a=13, team_b=8)",Northeastern,37.0,1640.0,700.0,5.769230769230768
12,2020-03-07,North Carolina,1,2340,"Score(team_a=11, team_b=8)",Minnesota,11.0,2003.0,337.0,4.090909090909091
13,2020-03-07,North Carolina,1,2340,"Score(team_a=11, team_b=6)",North Carolina-Wilmington,20.0,1835.0,505.0,6.8181818181818175
14,2020-03-07,North Carolina,1,2340,"Score(team_a=15, team_b=8)",Texas,31.0,1706.0,634.0,7.0
15,2020-03-08,North Carolina,1,2340,"Score(team_a=15, team_b=12)",Ohio State,7.0,2079.0,261.0,3.0
16,2020-03-08,North Carolina,1,2340,"Score(team_a=15, team_b=10)",Massachusetts,8.0,2070.0,270.0,5.0
17,2020-03-08,North Carolina,1,2340,"Score(team_a=15, team_b=9)",Pittsburgh,9.0,2052.0,288.0,6.0
18,2020-01-25,Washington,2,2291,"Score(team_a=13, team_b=1)",Santa Clara,40.0,1628.0,663.0,13.846153846153845
19,2020-01-25,Washington,2,2291,"Score(team_a=13, team_b=5)",California-Santa Barbara,27.0,1731.0,560.0,9.23076923076923
20,2020-01-25,Washington,2,2291,"Score(team_a=13, team_b=3)",Western Washington,28.0,1731.0,560.0,11.538461538461537
21,2020-01-25,Washington,2,2291,"Score(team_a=13, team_b=7)",Colorado State,14.0,1921.0,370.0,6.9230769230769225
22,2020-01-26,Washington,2,2291,"Score(team_a=13, team_b=5)",Utah,42.0,1615.0,676.0,9.23076923076923
23,2020-01-26,Washington,2,2291,"Score(team_a=13, team_b=5)",UCLA,16.0,1883.0,408.0,9.23076923076923
24,2020-01-26,Washington,2,2291,"Score(team_a=13, team_b=11)",Cal Poly-SLO,3.0,2194.0,97.0,2.3076923076923075
25,2020-02-15,Washington,2,2291,"Score(team_a=15, team_b=8)",Stanford,41.0,1618.0,673.0,7.0
26,2020-02-15,Washington,2,2291,"Score(team_a=15, team_b=3)",San Diego State,158.0,1005.0,1286.0,12.0
27,2020-02-15,Washington,2,2291,"Score(team_a=13, team_b=7)",Utah,42.0,1615.0,676.0,6.9230769230769225
28,2020-02-16,Washington,2,2291,"Score(team_a=15, team_b=8)",Oklahoma State,35.0,1651.0,640.0,7.0
29,2020-02-16,Washington,2,2291,"Score(team_a=14, team_b=8)",California-Santa Cruz,36.0,1644.0,647.0,6.428571428571429
30,2020-02-16,Washington,2,2291,"Score(team_a=11, team_b=9)",Colorado,5.0,2169.0,122.0,2.727272727272727
31,2020-02-17,Washington,2,2291,"Score(team_a=15, team_b=2)",Stanford,41.0,1618.0,673.0,13.0
32,2020-02-17,Washington,2,2291,"Score(team_a=11, team_b=7)",Cal Poly-SLO,3.0,2194.0,97.0,5.454545454545454
33,2020-02-17,Washington,2,2291,"Score(team_a=15, team_b=7)",Oregon,6.0,2107.0,184.0,8.0
34,2020-03-07,Washington,2,2291,"Score(team_a=12, team_b=9)",Oregon State,19.0,1839.0,452.0,3.75
35,2020-03-07,Washington,2,2291,"Score(team_a=13, team_b=2)",Southern California,90.0,1285.0,1006.0,12.692307692307692
36,2020-03-07,Washington,2,2291,"Score(team_a=13, team_b=9)",California,15.0,1900.0,391.0,4.615384615384615
37,2020-03-08,Washington,2,2291,"Score(team_a=13, team_b=10)",Colorado State,14.0,1921.0,370.0,3.4615384615384612
38,2020-03-08,Washington,2,2291,"Score(team_a=8, team_b=9)",Oregon,6.0,2107.0,184.0,-1.6666666666666667
39,2020-03-08,Washington,2,2291,"Score(team_a=10, team_b=13)",Cal Poly-SLO,3.0,2194.0,97.0,-3.4615384615384612
40,2020-01-24,Cal Poly-SLO,3,2194,"Score(team_a=10, team_b=13)",Brigham Young,4.0,2190.0,4.0,-3.4615384615384612
41,2020-01-25,Cal Poly-SLO,3,2194,"Score(team_a=13, team_b=6)",Tulane,49.0,1510.0,684.0,8.076923076923077
42,2020-01-25,Cal Poly-SLO,3,2194,"Score(team_a=13, team_b=3)",Southern California,90.0,1285.0,909.0,11.538461538461537
43,2020-01-25,Cal Poly-SLO,3,2194,"Score(team_a=13, team_b=6)",Utah,42.0,1615.0,579.0,8.076923076923077
44,2020-01-25,Cal Poly-SLO,3,2194,"Score(team_a=13, team_b=8)",Dartmouth,32.0,1695.0,499.0,5.769230769230768
45,2020-01-26,Cal Poly-SLO,3,2194,"Score(team_a=12, team_b=10)",British Columbia,12.0,1949.0,245.0,2.5
46,2020-01-26,Cal Poly-SLO,3,2194,"Score(team_a=13, team_b=8)",California,15.0,1900.0,294.0,5.769230769230768
48,2020-02-15,Cal Poly-SLO,3,2194,"Score(team_a=14, team_b=8)",Oklahoma State,35.0,1651.0,543.0,6.428571428571429
49,2020-02-15,Cal Poly-SLO,3,2194,"Score(team_a=14, team_b=3)",California-Davis,53.0,1493.0,701.0,11.785714285714285
50,2020-02-15,Cal Poly-SLO,3,2194,"Score(team_a=14, team_b=1)",Illinois,56.0,1464.0,730.0,13.928571428571429
51,2020-02-16,Cal Poly-SLO,3,2194,"Score(team_a=12, team_b=6)",Stanford,41.0,1618.0,576.0,7.5
52,2020-02-16,Cal Poly-SLO,3,2194,"Score(team_a=11, team_b=8)",UCLA,16.0,1883.0,311.0,4.090909090909091
53,2020-02-16,Cal Poly-SLO,3,2194,"Score(team_a=9, team_b=11)",Oregon,6.0,2107.0,87.0,-2.727272727272727
54,2020-02-17,Cal Poly-SLO,3,2194,"Score(team_a=15, team_b=7)",Utah,42.0,1615.0,579.0,8.0
56,2020-02-17,Cal Poly-SLO,3,2194,"Score(team_a=9, team_b=8)",Colorado,5.0,2169.0,25.0,1.6666666666666667
57,2020-03-07,Cal Poly-SLO,3,2194,"Score(team_a=13, team_b=4)",Whitman,58.0,1452.0,742.0,10.384615384615383
